learning evaluation instances,evaluation time (cpu seconds),average chunk train time,average chunk train speed,average chunk test time,average chunk test speed,model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),labeling cost,newThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
110000.0,6.041124293,0.01379019775,36257.63814735724,0.0092926773,53805.80685826678,1.580582820734982E-7,110000.0,89.17,78.34003401151686,78.3891156462585,78.24943857150683,110000.0,125640.0,0.2761090909090909,0.5,481.30000000000007,303.1329191405425,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
120000.0,6.776272353,0.0172343619,29011.808090208433,0.01205819915,41465.56162990557,1.7710029678866682E-7,120000.0,89.18166666666667,78.36337780861228,78.42231234625358,78.29895356223464,120000.0,125640.0,0.274175,0.5,479.0000000000001,309.35021505658534,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
130000.0,7.488112065,0.01702459405,29369.27591527505,0.011422062,43774.93310752472,1.9559241982894433E-7,130000.0,89.17153846153846,78.3430804599466,78.38165734996005,78.26214521757929,130000.0,125640.0,0.27294615384615384,0.5,495.5000000000001,316.8470538849234,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
140000.0,8.193187142,0.01661665645,30090.289313287212,0.01126922825,44368.61060117404,2.1372000607503993E-7,140000.0,89.14999999999999,78.30001607127382,78.330646656871,78.20816297252708,140000.0,125640.0,0.2720142857142857,0.5,492.9,308.41834863992415,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
150000.0,8.887641876,0.0162973316,30679.86908973491,0.011165755199999999,44779.77450195219,2.3157274698345405E-7,150000.0,89.18533333333333,78.37070828719175,78.40608069432797,78.29310067976236,150000.0,125640.0,0.27076,0.5,468.4,299.95636719733454,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
160000.0,9.521861276,0.01500237725,33328.05139265512,0.01031241355,48485.25493820988,2.480289598117624E-7,160000.0,89.21249999999999,78.42505782084503,78.44359240155366,78.36225052652692,160000.0,125640.0,0.2699125,0.5,494.0999999999999,317.30407778309086,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
170000.0,10.199449086,0.0158737521,31498.539025313366,0.0111745341,44744.59476570035,2.656120541325812E-7,170000.0,89.23705882352941,78.47415527036226,78.50926132559698,78.42818236480035,170000.0,125640.0,0.2691823529411765,0.5,488.30000000000007,314.800836508842,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
180000.0,10.848760628,0.01545050195,32361.40816771328,0.010317343900000001,48462.0852853417,2.823627813570243E-7,180000.0,89.27722222222222,78.55447915441707,78.58442624769766,78.50692085834233,180000.0,125640.0,0.26850555555555555,0.5,482.4,312.6983637096086,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
190000.0,11.476708648,0.0148202237,33737.68238059727,0.01019712465,49033.430222901115,2.9862563780723555E-7,190000.0,89.31210526315789,78.62424048790668,78.6774047901551,78.5748198478598,190000.0,125640.0,0.26773157894736843,0.5,472.4,305.2420533136139,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200000.0,12.179599638,0.01663848365,30050.815357804553,0.01139952965,43861.45879273186,3.1685211725132954E-7,200000.0,89.2985,78.59703347423965,78.65910201314176,78.55002455377277,200000.0,125640.0,0.26685,0.5,466.7,297.0469659834956,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
210000.0,12.834607687,0.015481477050000001,32296.6599624291,0.01064718095,46960.78730586428,3.3383739516111504E-7,210000.0,89.31809523809524,78.63620476135135,78.70797501755985,78.60725934120431,210000.0,125640.0,0.26615714285714287,0.5,488.50000000000006,313.9307248422811,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
